epoch,train_losses,train_accuracies,test_losses,test_accuracies
0,2.2859008909861247,0.24026666666666666,2.2515283248901365,0.4766
1,1.8884659411112468,0.6123333333333333,0.7931231154441833,0.809
2,0.554652419424057,0.8379333333333333,0.3791724315166473,0.8926
3,0.38709287185668945,0.8851166666666667,0.30419911251068116,0.9107
4,0.32102644163767496,0.9043,0.260219223690033,0.9234
5,0.27486608837445575,0.9176,0.22042670571804046,0.9342
6,0.24119105505943297,0.9271333333333334,0.18886696462631225,0.9445
7,0.21462093424797057,0.9349833333333334,0.17293348174095155,0.9466
8,0.19454854296048482,0.9414833333333333,0.15716206023693086,0.9538
9,0.17789564417997997,0.9473833333333334,0.1430368383169174,0.9575
10,0.16417670740286508,0.9508166666666666,0.12818469729423523,0.9621
11,0.15378175126711527,0.95365,0.12440397765636445,0.9626
12,0.14463385921319324,0.9562166666666667,0.11251892032623291,0.9661
13,0.13460666178862254,0.9595666666666667,0.11018264491558075,0.9669
14,0.1299623314857483,0.9601833333333334,0.10133897154331208,0.9687
15,0.12172514944076539,0.9635166666666667,0.09925721148252487,0.97
16,0.11685523840586344,0.9640833333333333,0.09584184361696244,0.9696
17,0.11265673162142435,0.9663666666666667,0.09114248696565629,0.9719
18,0.10755832878748575,0.9664666666666667,0.08728917376995086,0.9728
19,0.10220202883879344,0.9689,0.08825925452709198,0.9735
20,0.09811287881533305,0.9701666666666666,0.08190561406612397,0.9754
21,0.09453137413660685,0.9711166666666666,0.0823135444521904,0.9745
22,0.0906289128224055,0.9718666666666667,0.07570430347919464,0.9767
23,0.08887961129744848,0.9723,0.07369514026641846,0.9777
24,0.0857195610721906,0.9741833333333333,0.07113729249238968,0.9777
25,0.08431713372468948,0.9737666666666667,0.0721101315021515,0.9776
26,0.08147446883916855,0.9750833333333333,0.06881256622076035,0.9778
27,0.07717740442752838,0.97615,0.06756682469844819,0.9795
28,0.07618259878953298,0.9767666666666667,0.06711016339063644,0.9781
29,0.07347765404780705,0.97745,0.06737200124263763,0.9778
30,0.07260013779799143,0.9782,0.06525028562545776,0.9799
31,0.06966352518399556,0.9784333333333334,0.06326504247188568,0.9796
32,0.06884881849686304,0.9787833333333333,0.061624094140529634,0.9797
33,0.06648538924853006,0.9797666666666667,0.06014389932155609,0.9817
34,0.0651080361644427,0.9797666666666667,0.05921921602487564,0.9814
35,0.06336503401199976,0.9806833333333334,0.058190651881694797,0.9812
36,0.06182605441411336,0.9804166666666667,0.05794000858068466,0.9814
37,0.06012933506965637,0.9814166666666667,0.056231397914886475,0.9825
38,0.057775474667549134,0.98165,0.05599399191141129,0.9817
39,0.0574744774321715,0.9819833333333333,0.05762619522213936,0.9812
40,0.05576267905632655,0.9824333333333334,0.05761099846363068,0.9815
41,0.05409317882657051,0.9832833333333333,0.05579852477908134,0.9821
42,0.0549707358956337,0.9824166666666667,0.055009332650899884,0.9824
43,0.05249044559597969,0.9835333333333334,0.0530519593834877,0.9824
44,0.05136945304075877,0.9835833333333334,0.053278054147958755,0.9822
45,0.04958370730181535,0.9838166666666667,0.05164668885469437,0.9832
46,0.04871371441880862,0.9842833333333333,0.05287230469584465,0.9839
47,0.04790802032152812,0.9850833333333333,0.05232539082169533,0.984
48,0.047693709643681845,0.9849,0.05103151890039444,0.984
49,0.045741626658042274,0.9855666666666667,0.05016234204769134,0.983
50,0.04528228589296341,0.9856,0.050553088653087615,0.9832
51,0.04358017021417618,0.9862,0.05071516921520233,0.9833
52,0.04260997824668884,0.9867333333333334,0.0489550529062748,0.9834
53,0.04226160361369451,0.9867666666666667,0.0474943477332592,0.9842
54,0.042252030752102536,0.9868,0.049989672166109084,0.9831
55,0.04040322784980138,0.9872,0.04820697225928307,0.9841
56,0.0400960254629453,0.9875166666666667,0.04645238448381424,0.9852
57,0.038878969796498616,0.9883,0.04722941405177116,0.985
58,0.03744918532570203,0.9880333333333333,0.04886414115428925,0.9836
59,0.03606529190341631,0.9885666666666667,0.04688453776836395,0.9843
60,0.035904937028884885,0.9885166666666667,0.04607532056570053,0.9848
